Date : 2023-06-06 12:20:42
Directory : c:\Users\Asus\Desktop\admin\admin_dashboard
Total : 148 files,  9725 codes, 1501 comments, 868 blanks, all 12094 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Post.svg                                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Setting.svg                                         | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Statistics.svg                                      | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Subscribers.svg                                     | XML        |          8 |          0 |          1 |          9 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Twitter.svg                                         | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\bell(1).svg                                         | XML        |          5 |          0 |          1 |          6 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\bell.svg                                            | XML        |          5 |          0 |          1 |          6 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\chart.svg                                           | XML        |          7 |          0 |          1 |          8 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\energy.svg                                          | XML        |         29 |          1 |          6 |         36 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\eyes.svg                                            | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\home.svg                                            | XML        |          5 |          0 |          1 |          6 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\line.svg                                            | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\maps.svg                                            | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\message(1).svg                                      | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\message.svg                                         | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\money.svg                                           | XML        |          6 |          0 |          0 |          6 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\profile.svg                                         | XML        |          6 |          0 |          1 |          7 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\starts.svg                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\thumb_up.svg                                        | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\triner.svg                                          | XML        |          2 |          1 |          0 |          3 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md        | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Base.lproj\LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Base.lproj\Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Runner-Bridging-Header.h                              | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\constants\constants.dart                                     | Dart       |         13 |          2 |          4 |         19 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\constants\responsive.dart                                    | Dart       |         32 |          0 |          8 |         40 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\controllers\auth_provider.dart                               | Dart       |        422 |          2 |         43 |        467 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\controllers\controller.dart                                  | Dart       |         10 |          0 |          4 |         14 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\controllers\gym_provider.dart                                | Dart       |        103 |          1 |         15 |        119 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\class\crud.dart                                         | Dart       |        106 |          9 |         11 |        126 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\class\status_request.dart                               | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\functions\checkinternet.dart                            | Dart       |         14 |          1 |          2 |         17 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\functions\handling_data_control.dart                    | Dart       |          9 |          0 |          3 |         12 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\data\data.dart                                               | Dart       |         89 |          0 |          5 |         94 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\data\remote\test_data.dart                                   | Dart       |         24 |          3 |          5 |         32 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\linkapi.dart                                                 | Dart       |         38 |          6 |          3 |         47 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\main.dart                                                    | Dart       |         40 |          1 |          4 |         45 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\analytic_info_model.dart                              | Dart       |         12 |          0 |          3 |         15 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\coach_model.dart                                      | Dart       |         78 |          0 |          5 |         83 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\discussions_info_model.dart                           | Dart       |         11 |          0 |          3 |         14 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\gym_model.dart                                        | Dart       |         33 |          0 |          4 |         37 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\market_model.dart                                     | Dart       |        241 |         89 |         10 |        340 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\person_model.dart                                     | Dart       |         31 |          0 |          4 |         35 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\recipe_model.dart                                     | Dart       |         46 |          3 |          5 |         54 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\referal_info_model.dart                               | Dart       |         12 |          0 |          4 |         16 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\trainee_model.dart                                    | Dart       |         64 |          1 |          4 |         69 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\auth\login_screen.dart                               | Dart       |        241 |        152 |          9 |        402 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\auth\responsive_widget.dart                          | Dart       |         52 |          0 |         10 |         62 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\auth\sign_up_page.dart                               | Dart       |        172 |          0 |          4 |        176 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\analytic_cards.dart                       | Dart       |         54 |          0 |          8 |         62 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\analytic_info_card.dart                   | Dart       |         60 |          0 |          5 |         65 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\bar_chart_users.dart                      | Dart       |        171 |          0 |          4 |        175 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\custom_appbar.dart                        | Dart       |         27 |          0 |          5 |         32 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\dashboard_content.dart                    | Dart       |        101 |         36 |          4 |        141 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\discussion_info_detail.dart               | Dart       |         57 |          0 |          5 |         62 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\discussions.dart                          | Dart       |         61 |          0 |          4 |         65 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\drawer_list_tile.dart                     | Dart       |         26 |          0 |          5 |         31 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\drawer_menu.dart                          | Dart       |        117 |          1 |          7 |        125 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\profile_info.dart                         | Dart       |         37 |         32 |          4 |         73 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\radial_painter.dart                       | Dart       |         38 |          0 |         11 |         49 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\referal_info_detail.dart                  | Dart       |         57 |          0 |          5 |         62 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\search_field.dart                         | Dart       |         26 |          0 |          4 |         30 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\top_referals.dart                         | Dart       |         58 |          0 |          4 |         62 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\users.dart                                | Dart       |        144 |          7 |         15 |        166 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\users_by_device.dart                      | Dart       |        119 |          0 |          4 |        123 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\view_line_chart.dart                      | Dart       |         89 |          0 |          6 |         95 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\viewers.dart                              | Dart       |         33 |          0 |          4 |         37 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\dash_board_screen.dart                               | Dart       |         33 |          0 |          4 |         37 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\flip_widget.dart                                     | Dart       |         56 |          0 |          9 |         65 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\Adminboard.dart                    | Dart       |        346 |          1 |         10 |        357 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\CoachViewPage.dart                 | Dart       |        372 |          2 |         17 |        391 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\CoachesPage.dart                   | Dart       |         56 |          8 |          6 |         70 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\EditCoach.dart                     | Dart       |        165 |          8 |          7 |        180 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\EditingPage.dart                   | Dart       |        114 |          1 |          6 |        121 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\SkillsAdd.dart                     | Dart       |        211 |          1 |          4 |        216 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\SkillsList.dart                    | Dart       |        415 |          0 |          6 |        421 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\diabled_coach.dart                 | Dart       |        176 |          2 |          6 |        184 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\Dashboard.dart                   | Dart       |        221 |          8 |          7 |        236 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\card_custom.dart      | Dart       |         41 |          0 |          8 |         49 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\circle_progress.dart  | Dart       |         25 |          0 |          8 |         33 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\data_table.dart       | Dart       |        135 |          3 |          8 |        146 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\graphbody.dart        | Dart       |        273 |         23 |         28 |        324 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\list_tile_custom.dart | Dart       |         41 |          0 |          3 |         44 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\themes.dart                      | Dart       |         32 |          0 |          7 |         39 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\FormatPage\formatpage.dart                     | Dart       |         54 |          0 |          5 |         59 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\GymConfigPage\gymconf.dart                     | Dart       |        264 |          3 |          8 |        275 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\PrimaryPage\Home.dart                          | Dart       |        143 |         11 |          7 |        161 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\PrimaryPage\griddashboard.dart                 | Dart       |        143 |          0 |          6 |        149 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\Primarypage.dart                               | Dart       |         19 |          0 |          4 |         23 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\SettingPage\setting.dart                       | Dart       |        229 |         16 |          8 |        253 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\TraineePage\trainee.dart                       | Dart       |        328 |        207 |         20 |        555 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\table_screen.dart                              | Dart       |        152 |        339 |         12 |        503 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\coach_table.dart                        | Dart       |        134 |         37 |          9 |        180 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\market_table.dart                       | Dart       |        161 |          3 |          8 |        172 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\recipe_table.dart                       | Dart       |        122 |          3 |          8 |        133 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\trainee_table.dart                      | Dart       |        158 |        156 |         16 |        330 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\map.dart                                             | Dart       |        263 |         41 |         20 |        324 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\linux\flutter\generated_plugin_registrant.cc                     | C++        |          3 |          4 |          5 |         12 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\linux\flutter\generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\linux\flutter\generated_plugins.cmake                            | CMake      |         18 |          0 |          6 |         24 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\linux\main.cc                                                    | C++        |          5 |          0 |          2 |          7 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\linux\my_application.cc                                          | C++        |         74 |         11 |         20 |        105 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\linux\my_application.h                                           | C++        |          7 |          7 |          5 |         19 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Flutter\GeneratedPluginRegistrant.swift                    | Swift      |         10 |          3 |          4 |         17 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\AppDelegate.swift                                   | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json    | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\Base.lproj\MainMenu.xib                             | XML        |        343 |          0 |          1 |        344 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\MainFlutterWindow.swift                             | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\pubspec.yaml                                                     | YAML       |         40 |         57 |         13 |        110 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\test\widget_test.dart                                            | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\web\index.html                                                   | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\web\manifest.json                                                | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\flutter\generated_plugin_registrant.cc                   | C++        |          6 |          4 |          5 |         15 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\flutter\generated_plugin_registrant.h                    | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\flutter\generated_plugins.cmake                          | CMake      |         19 |          0 |          6 |         25 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\flutter_window.cpp                                | C++        |         48 |          4 |         15 |         67 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\flutter_window.h                                  | C++        |         20 |          5 |          9 |         34 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\main.cpp                                          | C++        |         30 |          4 |         10 |         44 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\resource.h                                        | C++        |          9 |          6 |          2 |         17 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\utils.cpp                                         | C++        |         53 |          2 |         10 |         65 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\utils.h                                           | C++        |          8 |          6 |          6 |         20 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\win32_window.cpp                                  | C++        |        210 |         24 |         55 |        289 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\win32_window.h                                    | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                        |            |      9,725 |      1,501 |        868 |     12,094 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
